ano,time,competidor,reserva,classificado,posicao,medalha,universidade,estado,regiao
2017,lorem ipsum,carla cosenza ,1,1,9,bronze,IME,RJ,Sudeste
2017,calopsita,lucas frança de oliveira,0,0,10,bronze,ITA,SP,Sudeste
2017,calopsita,matheus leão,0,0,10,bronze,ITA,SP,Sudeste
2017,calopsita,lucas ferreira,0,0,10,bronze,ITA,SP,Sudeste
2017,calopsita,caique lira ,1,0,10,bronze,ITA,SP,Sudeste
2015,turing indecisos,duhan caraciolo,0,1,1,gold,UFPE,PE,Nordeste
2015,turing indecisos,mario henrique,0,1,1,gold,UFPE,PE,Nordeste
2015,turing indecisos,gustavo stor,0,1,1,gold,UFPE,PE,Nordeste
2015,turing indecisos,,0,1,1,gold,UFPE,PE,Nordeste
2015,abella e os feras,felipe abella de souza,0,1,2,gold,UFCG,PB,Nordeste
2015,abella e os feras,árysson figueiredo,0,1,2,gold,UFCG,PB,Nordeste
2015,abella e os feras,manoel lucas lins,0,1,2,gold,UFCG,PB,Nordeste
2015,abella e os feras,,0,1,2,gold,UFCG,PB,Nordeste
2015,bob,tomás raphael fonseca,0,1,3,gold,USP-SC,SP,Sudeste
2015,bob,bruno sanches,0,1,3,gold,USP-SC,SP,Sudeste
2015,bob,danilo tedeschi,0,1,3,gold,USP-SC,SP,Sudeste
2015,bob,,0,1,3,gold,USP-SC,SP,Sudeste
2015,robério e seus teclados,guilherme bernal,0,1,4,silver,UFBA,BA,Nordeste
2015,robério e seus teclados,roberto caldeira,0,1,4,silver,UFBA,BA,Nordeste
2015,robério e seus teclados,jonathan queiroz,0,1,4,silver,UFBA,BA,Nordeste
2015,robério e seus teclados,,0,1,4,silver,UFBA,BA,Nordeste
2015,sua mãe,yan couto,0,1,5,silver,USP-SP,SP,Sudeste
2015,sua mãe,giovana delfino,0,1,5,silver,USP-SP,SP,Sudeste
2015,sua mãe,gabriel fernandes,0,1,5,silver,USP-SP,SP,Sudeste
2015,sua mãe,,0,1,5,silver,USP-SP,SP,Sudeste
2015,ballions,vítor castelo branco,0,0,6,silver,UFPE,PE,Nordeste
2015,ballions,marlon santos,0,0,6,silver,UFPE,PE,Nordeste
2015,ballions,josé rene santos leite,0,0,6,silver,UFPE,PE,Nordeste
2015,ballions,,0,0,6,silver,UFPE,PE,Nordeste
2015,biblethump,augusto morgan,0,1,7,bronze,UNICAMP,SP,Sudeste
2015,biblethump,ivan petrin,0,1,7,bronze,UNICAMP,SP,Sudeste
2015,biblethump,tiago reis,0,1,7,bronze,UNICAMP,SP,Sudeste
2015,biblethump,,0,1,7,bronze,UNICAMP,SP,Sudeste
2015,starters edition,lucas maciel,0,0,8,bronze,UFMG,MG,Centro-Oeste
2015,starters edition,gabriel poesia,0,0,8,bronze,UFMG,MG,Centro-Oeste
2015,starters edition,luiz santos,0,0,8,bronze,UFMG,MG,Centro-Oeste
2015,starters edition,,0,0,8,bronze,UFMG,MG,Centro-Oeste
2015,pgrnsue,caíque lira,0,0,9,bronze,ITA,SP,Sudeste
2015,pgrnsue,luiz ramos,0,0,9,bronze,ITA,SP,Sudeste
2015,pgrnsue,mateus oliveira,0,0,9,bronze,ITA,SP,Sudeste
2015,absurdo clássico: missão final,hugo cabral,0,0,10,bronze,UFRN,RN,Nordeste
2015,absurdo clássico: missão final,zailton calheiros,0,0,10,bronze,UFRN,RN,Nordeste
2015,absurdo clássico: missão final,hélio filho,0,0,10,bronze,UFRN,RN,Nordeste
2015,absurdo clássico: missão final,,0,0,10,bronze,UFRN,RN,Nordeste
2014,i am root,marcos kawakami,0,1,1,gold,USP-SP,SP,Sudeste
2014,i am root,stefano tommasini,0,1,1,gold,USP-SP,SP,Sudeste
2014,i am root,antonio roberto de campos junior,0,1,1,gold,USP-SP,SP,Sudeste
2014,i am root,,0,1,1,gold,USP-SP,SP,Sudeste
2014,manoel borboleta e miguxos,manoel lucas urbano de barros lins,0,1,2,gold,UFCG,PB,Nordeste
2014,manoel borboleta e miguxos,rafael catalão perrela,0,1,2,gold,UFCG,PB,Nordeste
2014,manoel borboleta e miguxos,lucas figueiredo,0,1,2,gold,UFCG,PB,Nordeste
2014,manoel borboleta e miguxos,,0,1,2,gold,UFCG,PB,Nordeste
2014,guns n' codes,diego ximenes mendes,0,1,3,gold,UFRJ,RJ,Sudeste
2014,guns n' codes,rodrigo zhou,0,1,3,gold,UFRJ,RJ,Sudeste
2014,guns n' codes,filipe zhou,0,1,3,gold,UFRJ,RJ,Sudeste
2014,guns n' codes,,0,1,3,gold,UFRJ,RJ,Sudeste
2014,rua do sabão,igor wolff resplande,0,1,4,silver,UNICAMP,SP,Sudeste
2014,rua do sabão,ruan ramos monteiro silva,0,1,4,silver,UNICAMP,SP,Sudeste
2014,rua do sabão,patricia hongo,0,1,4,silver,UNICAMP,SP,Sudeste
2014,rua do sabão,,0,1,4,silver,UNICAMP,SP,Sudeste
2014,literally tourists,gabriel poesia,0,1,5,silver,UFMG,MG,Centro-Oeste
2014,literally tourists,diogo oliveira,0,1,5,silver,UFMG,MG,Centro-Oeste
2014,literally tourists,guilherme gomes,0,1,5,silver,UFMG,MG,Centro-Oeste
2014,arquiduque andorinha,ramon silva de lima,0,0,6,silver,USP-SP,SP,Sudeste
2014,arquiduque andorinha,marcelo sales,0,0,6,silver,USP-SP,SP,Sudeste
2014,arquiduque andorinha,andré amaral de souza,0,0,6,silver,USP-SP,SP,Sudeste
2014,paitheus quer ir embora,matheus scandiffio,0,0,7,bronze,UFU,MG,Centro-Oeste
2014,paitheus quer ir embora,alvaro bruno silva pereira,0,0,7,bronze,UFU,MG,Centro-Oeste
2014,paitheus quer ir embora,caio augusto araujo oliveira,0,0,7,bronze,UFU,MG,Centro-Oeste
2014,cpf na nota?,caíque lira,0,0,8,bronze,ITA,SP,Sudeste
2014,cpf na nota?,luiz ramos,0,0,8,bronze,ITA,SP,Sudeste
2014,cpf na nota?,felipe freitas,0,0,8,bronze,ITA,SP,Sudeste
2014,code fu pandas,mario henrique,0,0,9,bronze,UFPE,PE,Nordeste
2014,code fu pandas,lucas lima,0,0,9,bronze,UFPE,PE,Nordeste
2014,code fu pandas,gustavo stor,0,0,9,bronze,UFPE,PE,Nordeste
2014,code fu pandas,,0,0,9,bronze,UFPE,PE,Nordeste
2014,zuera++,jonathan carvalhosa,0,0,10,bronze,IME,RJ,Sudeste
2014,zuera++,matheus leal assunção,0,0,10,bronze,IME,RJ,Sudeste
2014,zuera++,geraldo avelino,0,0,10,bronze,IME,RJ,Sudeste
2014,zuera++,,0,0,10,bronze,IME,RJ,Sudeste
2008,"prático, cícero e heitor",pedro bello,0,1,1,gold,UFPE,PE,Nordeste
2008,"prático, cícero e heitor",pablo pinheiro,0,1,1,gold,UFPE,PE,Nordeste
2008,"prático, cícero e heitor",hallan dos santos,0,1,1,gold,UFPE,PE,Nordeste
2008,"prático, cícero e heitor",,0,1,1,gold,UFPE,PE,Nordeste
2008,triforce,bruno ribas,0,1,2,gold,UFPR,PR,Sul
2008,triforce,eduardo ribas,0,1,2,gold,UFPR,PR,Sul
2008,triforce,raphael ribas,0,1,2,gold,UFPR,PR,Sul
2008,triforce,,0,1,2,gold,UFPR,PR,Sul
2008,yathreesobas,maira araujo,0,0,3,gold,UFPE,PE,Nordeste
2008,yathreesobas,victor medeiros,0,0,3,gold,UFPE,PE,Nordeste
2008,yathreesobas,artur de aquino,0,0,3,gold,UFPE,PE,Nordeste
2008,yathreesobas,,0,0,3,gold,UFPE,PE,Nordeste
2008,null,rafael coelho,0,1,4,silver,UFES,ES,Sudeste
2008,null,giovanni comarela,0,1,4,silver,UFES,ES,Sudeste
2008,null,lessandro mariano,0,1,4,silver,UFES,ES,Sudeste
2008,null,,0,1,4,silver,UFES,ES,Sudeste
2008,posso ajudar?,rafael carmo,0,1,5,silver,UECE,CE,Nordeste
2008,posso ajudar?,teofilo dutra,0,1,5,silver,UECE,CE,Nordeste
2008,posso ajudar?,rudy matela,0,1,5,silver,UECE,CE,Nordeste
2008,posso ajudar?,,0,1,5,silver,UECE,CE,Nordeste
2008,time limit exceeded,tiago madeira,0,1,6,silver,UFSC,SC,Sul
2008,time limit exceeded,eluan miranda,0,1,6,silver,UFSC,SC,Sul
2008,time limit exceeded,luis fernando schultz xavier da silveira,0,1,6,silver,UFSC,SC,Sul
2008,time limit exceeded,,0,1,6,silver,UFSC,SC,Sul
2008,guerreiros da poli,ricardo pereira,0,1,7,bronze,POLI-USP,SP,Sudeste
2008,guerreiros da poli,gustavo gouveia,0,1,7,bronze,POLI-USP,SP,Sudeste
2008,guerreiros da poli,victor lassance,0,1,7,bronze,POLI-USP,SP,Sudeste
2008,guerreiros da poli,,0,1,7,bronze,POLI-USP,SP,Sudeste
2008,tampureção,davi costa,0,0,8,bronze,UNICAMP,SP,Sudeste
2008,tampureção,andre linhares,0,0,8,bronze,UNICAMP,SP,Sudeste
2008,tampureção,felipe sodre silva,0,0,8,bronze,UNICAMP,SP,Sudeste
2008,tampureção,,0,0,8,bronze,UNICAMP,SP,Sudeste
2008,end of list,breno flesch franco,0,0,9,bronze,IME-USP,SP,Sudeste
2008,end of list,gabriel peixoto,0,0,9,bronze,IME-USP,SP,Sudeste
2008,end of list,rafael suguiura,0,0,9,bronze,IME-USP,SP,Sudeste
2008,end of list,,0,0,9,bronze,IME-USP,SP,Sudeste
2008,merputação,alexandre kunieda,0,0,10,bronze,UNICAMP,SP,Sudeste
2008,merputação,marcelo povoa,0,0,10,bronze,UNICAMP,SP,Sudeste
2008,merputação,igor assis,0,0,10,bronze,UNICAMP,SP,Sudeste
2008,merputação,,0,0,10,bronze,UNICAMP,SP,Sudeste
2009,"pedrov, victorov e mairova",pedro bello,0,1,1,gold,UFPE,PE,Nordeste
2009,"pedrov, victorov e mairova",víctor medeiros,0,1,1,gold,UFPE,PE,Nordeste
2009,"pedrov, victorov e mairova",maira araújo,0,1,1,gold,UFPE,PE,Nordeste
2009,"pedrov, victorov e mairova",,0,1,1,gold,UFPE,PE,Nordeste
2009,anuncie aqui,ramon cravo,0,1,2,gold,UFS,SE,Nordeste
2009,anuncie aqui,mauricio collares neto,0,1,2,gold,UFS,SE,Nordeste
2009,anuncie aqui,felipe oliveira,0,1,2,gold,UFS,SE,Nordeste
2009,anuncie aqui,,0,1,2,gold,UFS,SE,Nordeste
2009,é muita grana,raphael ribas,0,1,3,gold,IME-USP,SP,Sudeste
2009,é muita grana,joel uchoa,0,1,3,gold,IME-USP,SP,Sudeste
2009,é muita grana,gabriel peixoto,0,1,3,gold,IME-USP,SP,Sudeste
2009,é muita grana,,0,1,3,gold,IME-USP,SP,Sudeste
2009,carteado,daniel moreira,0,1,4,silver,ITA,SP,Sudeste
2009,carteado,cesar kawakami,0,1,4,silver,ITA,SP,Sudeste
2009,carteado,guilherme souza,0,1,4,silver,ITA,SP,Sudeste
2009,carteado,,0,1,4,silver,ITA,SP,Sudeste
2009,dynasty of samba,caio dias valentim,0,1,5,silver,PUC-RIO,RJ,Sudeste
2009,dynasty of samba,carlos guilherme ferreira,0,1,5,silver,PUC-RIO,RJ,Sudeste
2009,dynasty of samba,eduardo cardoso,0,1,5,silver,PUC-RIO,RJ,Sudeste
2009,dynasty of samba,,0,1,5,silver,PUC-RIO,RJ,Sudeste
2009,ic /* no comments */,davi costa,0,1,6,silver,UNICAMP,SP,Sudeste
2009,ic /* no comments */,guilherme kunigami,0,1,6,silver,UNICAMP,SP,Sudeste
2009,ic /* no comments */,marcelo povoa,0,1,6,silver,UNICAMP,SP,Sudeste
2009,ic /* no comments */,,0,1,6,silver,UNICAMP,SP,Sudeste
2009,morte ao luis fernando,helena günter,0,1,7,bronze,UFSC,SC,Sul
2009,morte ao luis fernando,bruno farias,0,1,7,bronze,UFSC,SC,Sul
2009,morte ao luis fernando,luis fernando silveira,0,1,7,bronze,UFSC,SC,Sul
2009,morte ao luis fernando,,0,1,7,bronze,UFSC,SC,Sul
2009,falha de segmentasamba,daniel marques,0,0,8,bronze,PUC-RIO,RJ,Sudeste
2009,falha de segmentasamba,pedro veras,0,0,8,bronze,PUC-RIO,RJ,Sudeste
2009,falha de segmentasamba,paulo de tarso gomide,0,0,8,bronze,PUC-RIO,RJ,Sudeste
2009,falha de segmentasamba,,0,0,8,bronze,PUC-RIO,RJ,Sudeste
2009,kmp,alexandre kunieda,0,0,9,bronze,UNICAMP,SP,Sudeste
2009,kmp,mauro lopes,0,0,9,bronze,UNICAMP,SP,Sudeste
2009,kmp,lucas tiago de castro jesus,0,0,9,bronze,UNICAMP,SP,Sudeste
2009,kmp,,0,0,9,bronze,UNICAMP,SP,Sudeste
2009,kryptonita,diogo holanda,0,0,10,bronze,ITA,SP,Sudeste
2009,kryptonita,walter filho,0,0,10,bronze,ITA,SP,Sudeste
2009,kryptonita,luca moller,0,0,10,bronze,ITA,SP,Sudeste
2009,kryptonita,,0,0,10,bronze,ITA,SP,Sudeste
2011,challenge accepted,davi pinheiro,0,1,1,gold,UFPE,PE,Nordeste
2011,challenge accepted,filipe melo,0,1,1,gold,UFPE,PE,Nordeste
2011,challenge accepted,luiz silva,0,1,1,gold,UFPE,PE,Nordeste
2011,challenge accepted,,0,1,1,gold,UFPE,PE,Nordeste
2011,comp-ele error,fernando fonseca,0,1,2,gold,ITA,SP,Sudeste
2011,comp-ele error,gabriel dalalio,0,1,2,gold,ITA,SP,Sudeste
