0,1,2,3,4,5,6,7,8,9
#,Site,User,Time,Problem,Language,Filename,Status,Judge (Site),Answer
117,1,Go Horse,32,H,Java,H.java,judged,juiz3 (1),YES
118,1,PhD na área;,33,H,C++,h.cpp,judged,juiz2 (1),YES
119,1,I Can Haz Balloonz,33,H,C++,h.cpp,judged,juiz2 (1),YES
120,1,Programação Orientada a Balões,34,H,C++,exh.cpp,judged,juiz3 (1),YES
121,1,Programação Orientada a Balões,34,D,C++,exd.cpp,judged,juiz2 (1),YES
122,1,PiratasDoValeDoSãoFrancisco,35,H,C++,h.cpp,judged,juiz2 (1),YES
123,1,Berro Trypanossomático,36,I,C++,I.cpp,judged,juiz2 (1),NO - Wrong answer
124,1,Berro Trypanossomático,38,I,C++,I.cpp,judged,juiz2 (1),NO - Wrong answer
125,1,Grupo Gama,38,H,C,H.c,judged,juiz2 (1),YES
126,1,Largest Living Rodent,40,D,C,D.c,judged,juiz2 (1),YES
127,1,Señora Margarida,40,I,C++,I.cpp,judged,juiz6 (1),NO - Wrong answer
128,1,TBK,40,H,C++,H.cpp,judged,juiz6 (1),YES
129,1,Berro Trypanossomático,41,I,C++,I.cpp,judged,juiz2 (1),YES
130,1,Thundercats,41,D,C++,teste.cpp,judged,juiz6 (1),NO - Wrong answer
131,1,Señora Margarida,41,H,C++,h.cpp,judged,juiz2 (1),YES
132,1,IFSC - Schrödingers Katze,42,I,C++,I.cpp,judged,juiz3 (1),NO - Time limit exceeded
133,1,Dont Care,43,D,C++,D.cpp,judged,juiz3 (1),YES
134,1,"ICompUFAM-""Computa agora""",43,D,C++,differents.cpp,judged,juiz3 (1),NO - Wrong answer
135,1,a; DROP TABLEuser; --,44,I,C++,I.cpp,judged,juiz2 (1),NO - Time limit exceeded
136,1,Não Entre em Pânico,44,I,C++,I.cpp,judged,juiz6 (1),NO - Time limit exceeded
137,1,"jQuery bool, jQuery char!",45,C,C++,cellphone.cpp,judged,juiz3 (1),YES
138,1,Y U no accept?,47,I,C++,i.cpp,judged,juiz2 (1),YES
139,1,PontoCPP,47,I,C++,i.cpp,judged,juiz2 (1),NO - Time limit exceeded
140,1,PhD na área;,47,I,C++,i.cpp,judged,juiz3 (1),YES
141,1,Señora Margarida,48,I,C++,I.cpp,judged,juiz2 (1),YES
142,1,Absurdo Clássico - Agora Vai!,49,I,C++,I.cpp,judged,juiz6 (1),YES
143,1,Y U no accept?,49,H,C++,h.cpp,judged,juiz2 (1),NO - Wrong answer
144,1,Não Entre em Pânico,50,I,C++,I.cpp,judged,juiz6 (1),NO - Time limit exceeded
145,1,Go Horse,51,I,Java,I.java,judged,juiz2 (1),NO - Runtime error
146,1,ASA,51,I,C++,i.cpp,judged,juiz2 (1),YES
147,1,UFMG In rand() we trust!,52,I,C++,I.cpp,judged,juiz3 (1),YES
148,1,char *alho;,52,D,C++,D.cpp,judged,juiz3 (1),YES
149,1,a; DROP TABLEuser; --,53,I,C++,I.cpp,judged,juiz4 (1),NO - Time limit exceeded
150,1,MargarITA,53,C,C++,c.cpp,judged,juiz2 (1),YES
151,1,Chinelada na Orelha,53,I,C++,i.cpp,judged,juiz3 (1),YES
152,1,using namespace none;,54,I,C++,I.cpp,judged,juiz2 (1),YES
153,1,4 Fun 2 Win,54,C,C++,C.cpp,judged,juiz2 (1),YES
154,1,ETROPUS,54,I,C++,i.cpp,judged,juiz3 (1),NO - Time limit exceeded
155,1,char *alho;,55,H,C++,H.cpp,judged,juiz6 (1),NO - Runtime error
156,1,Unoeste WJR,56,I,C++,ip.cpp,judged,juiz6 (1),NO - Time limit exceeded
157,1,Y U no accept?,56,H,C++,h.cpp,judged,juiz3 (1),NO - Wrong answer
158,1,MOJUCA,56,I,C++,I.cpp,judged,juiz6 (1),YES
159,1,Grupo Gama,57,I,C,I.c,judged,juiz6 (1),NO - Wrong answer
160,1,Já Chegou o Disco Voador,58,I,Java,I.java,judged,juiz3 (1),NO - Time limit exceeded
161,1,Untitled.c,58,I,C,I.c,judged,juiz4 (1),NO - Time limit exceeded
162,1,Programação Orientada a Balões,59,I,C++,exi.cpp,judged,juiz2 (1),NO - Time limit exceeded
163,1,PontoCPP,59,I,C++,i.cpp,judged,juiz2 (1),NO - Time limit exceeded
164,1,Go Horse,60,I,Java,I.java,judged,juiz2 (1),NO - Runtime error
165,1,char *alho;,60,H,C++,H.cpp,judged,juiz5 (1),YES
166,1,Coração das Cartas,60,I,C++,I.cpp,judged,juiz4 (1),YES
167,1,Señora Margarida,60,C,C++,C.cpp,judged,juiz3 (1),YES
168,1,"jQuery bool, jQuery char!",62,A,C++,arranging.cpp,judged,juiz2 (1),NO - Wrong answer
169,1,Untitled.c,63,D,C,D.c,judged,juiz3 (1),NO - Wrong answer
170,1,Grupo Gama,63,I,C,I.c,judged,juiz5 (1),NO - Wrong answer
171,1,sudo make a sandwich,64,C,C++,C.cpp,judged,juiz2 (1),YES
172,1,Dont Care,64,I,C++,I.cpp,judged,juiz5 (1),NO - Runtime error
173,1,#include <RijeéL>,66,I,C++,I.cpp,judged,juiz2 (1),YES
174,1,Já Chegou o Disco Voador,66,I,Java,I.java,judged,juiz3 (1),NO - Time limit exceeded
175,1,Grupo Gama,67,I,C,I.c,judged,juiz6 (1),NO - Time limit exceeded
176,1,Monkeys,67,C,C++,C.cpp,judged,juiz6 (1),YES
177,1,Não Entre em Pânico,67,I,C++,I.cpp,judged,juiz6 (1),NO - Wrong answer
178,1,Unoeste WJR,68,I,C++,ip.cpp,judged,juiz4 (1),NO - Time limit exceeded
179,1,Vruum,68,I,C++,i.cpp,judged,juiz6 (1),YES
180,1,Os Cartolas,68,C,C++,c.cpp,judged,juiz4 (1),YES
181,1,"ICompUFAM-""Computa agora""",68,D,C++,differents.cpp,judged,juiz3 (1),YES
182,1,Untitled.c,70,D,C,D.c,judged,juiz2 (1),NO - Wrong answer
183,1,Dont Care,71,I,C++,I.cpp,judged,juiz2 (1),NO - Wrong answer
184,1,"jQuery bool, jQuery char!",71,A,C++,arranging.cpp,judged,juiz3 (1),NO - Wrong answer
185,1,Já Chegou o Disco Voador,72,I,Java,I.java,judged,juiz2 (1),NO - Wrong answer
186,1,Go Horse,72,I,Java,I.java,judged,juiz6 (1),NO - Runtime error
187,1,Grupo Gama,72,I,C,I.c,judged,juiz3 (1),NO - Wrong answer
188,1,UFMG Starters Edition,73,I,C++,i.cpp,judged,juiz3 (1),YES
189,1,Knights of The Round Robin,74,C,C++,C.cpp,judged,juiz3 (1),YES
190,1,Thundercats,74,D,C++,teste.cpp,judged,juiz6 (1),YES
191,1,Untitled.c,75,D,C,D.c,judged,juiz6 (1),YES
192,1,Não Entre em Pânico,75,I,C++,I.cpp,judged,juiz3 (1),NO - Time limit exceeded
193,1,PonteirosReversos,76,I,C++,i.cpp,judged,juiz6 (1),NO - Time limit exceeded
