universidade,sigla,estado
FACULDADE ANHANGUERA DE TECNOLOGIA DE JUNDUAÍ,FATJ,SP
FACULDADE ANHANGUERA DE VALPARAÍSO,FAV,GO
FACULDADE ANHANGUERA JARAGUÁ DO SUL,FATEJA,SC
FACULDADE ANHANGÜERA DE DOURADOS,FAD,MS
FACULDADE ANHANGÜERA DE SOROCABA,FSO,SP
FACULDADE ANTONIO MENEGHETTI,FAM,RS
FACULDADE ANÍSIO TEIXEIRA DE FEIRA DE SANTANA,FAT,BA
FACULDADE APOGEU,APOGEU,DF
FACULDADE ARAGUAIA,FARA,GO
FACULDADE ARNALDO HORÁCIO FERREIRA,FAAHF,BA
FACULDADE ARQUIDIOCESANA DE CURVELO,FAC,MG
FACULDADE ARTHUR SÁ EARP NETO,FASE,RJ
FACULDADE ARTHUR THOMAS,CESA,PR
FACULDADE ASA DE BRUMADINHO,IECEMB - FAB,MG
FACULDADE ASCES,ASCES,PE
FACULDADE ASSIS GURGACZ,FAG,PR
FACULDADE ASSOCIADA BRASIL,FAB,SP
FACULDADE ASTORGA,FAAST,PR
FACULDADE ATENAS MARANHENSE,FAMA,MA
FACULDADE ATENEU,FATE,DF
FACULDADE ATLÂNTICO,ATLANTICO,SE
FACULDADE ATUAL,FAAT,AP
FACULDADE AUTÔNOMA DE DIREITO,FADISP,SP
FACULDADE AVANTIS,AVANTIS,SC
FACULDADE AVEC DE VILHENA,AVEC,RO
FACULDADE AÇÃO,FCTVALE,SC
FACULDADE BAIANA DE CIÊNCIAS CONTÁBEIS,FABAC ,BA
FACULDADE BAIANA DE DIREITO,FBD,BA
FACULDADE BARDDAL DE ARTES APLICADAS,FB-AA,SC
FACULDADE BARDDAL,FB-SI,SC
FACULDADE BARRETOS,FB,SP
FACULDADE BARÃO DO RIO BRANCO,FAB,AC
FACULDADE BATISTA BRASILEIRA,FBB,BA
FACULDADE BATISTA BRASILEIRA,FBB,BA
FACULDADE BATISTA DE MINAS GERAIS,FBMG,MG
FACULDADE BATISTA DE VITORIA,FABAVI,ES
FACULDADE BATISTA DO RIO DE JANEIRO,FABAT,RJ
FACULDADE BERTIOGA,FABE,SP
FACULDADE BETIM,FABE,MG
FACULDADE BEZERRA DE ARAÚJO,FABA,RJ
FACULDADE BIRIGUI,FABI,SP
FACULDADE BOA VIAGEM,FBV,PE
FACULDADE BOAS NOVAS DE CIÊNCIAS TEOLÓGICAS SOCIAIS E BIOTECNOLÓGICAS,FBNCTSB,AM
FACULDADE BORGES DE MENDONÇA,FBM,SC
FACULDADE BRASIL CENTRAL,FBC,GO
FACULDADE BRASIL NORTE,FABRAN,AP
FACULDADE BRASILEIRA DE EDUCAÇÃO E CULTURA,FABEC BRASIL,GO
FACULDADE BRASILEIRA,MULTIVIX VITÓRIA,ES
FACULDADE BRASILEIRA,UNIVIX,ES
FACULDADE BRASÍLIA DE SÃO PAULO,FABRASP,SP
