universidade,sigla,estado
FACULDADE DE SABARÁ,SOECS,MG
FACULDADE DE SAÚDE CIÊNCIAS HUMANAS E TECNOLÓGICAS DO PIAUÍ,Novafapi,PI
FACULDADE DE SAÚDE DE SÃO PAULO,FASSP,SP
FACULDADE DE SAÚDE E DESENVOLVIMENTO HUMANO SANTO AGOSTINHO,FS,MG
FACULDADE DE SAÚDE IBITURUNA,FASI,MG
FACULDADE DE SERGIPE,FaSe,SE
FACULDADE DE SERVIÇO SOCIAL DE PASSOS,FASESP,MG
FACULDADE DE SORRISO,FAIS,MT
FACULDADE DE SÃO BENTO DO RIO DE JANEIRO,FSB/RJ,RJ
FACULDADE DE SÃO JOSÉ DOS CAMPOS,BILAC,SP
FACULDADE DE SÃO LOURENÇO,FASAMA,MG
FACULDADE DE SÃO ROQUE,FAEV,SP
FACULDADE DE SÃO VICENTE,FSV,SP
FACULDADE DE TALENTOS HUMANOS,FACTHUS,MG
FACULDADE DE TAQUARITINGA,FTGA,SP
FACULDADE DE TECNOLOGIA APOENA,FTA,CE
FACULDADE DE TECNOLOGIA BANDEIRANTES,BANDTEC,SP
FACULDADE DE TECNOLOGIA CENTEC,CENTEC,CE
FACULDADE DE TECNOLOGIA DA PARAÍBA,FATECPB,PB
FACULDADE DE TECNOLOGIA DE BOTUCATU,FATEC BT,SP
FACULDADE DE TECNOLOGIA DE CARAPICUIBA,FATEC,SP
FACULDADE DE TECNOLOGIA DE GUARATINGUETÁ,FATEC GT,SP
FACULDADE DE TECNOLOGIA DE ITAPETININGA - PROF.ANTÔNIO BELIZANDRO BARBOSA REZENDE,Fatec - Itapetininga,SP
FACULDADE DE TECNOLOGIA DE ITAQUAQUECETUBA,Fatec Itaqua,SP
FACULDADE DE TECNOLOGIA DE JACAREÍ,ETEP,SP
FACULDADE DE TECNOLOGIA DE JUNDIAÍ,FATEC/JD,SP
FACULDADE DE TECNOLOGIA DE MINAS GERAIS,FATEMG,MG
FACULDADE DE TECNOLOGIA DE MOGI DAS CRUZES,FATEC-MC,SP
FACULDADE DE TECNOLOGIA DE PIRACICABA,Fatec Piracicaba,SP
FACULDADE DE TECNOLOGIA DE PORTO ALEGRE,FAQI,RS
FACULDADE DE TECNOLOGIA DE SÃO BERNARDO DO CAMPO,FATEC-SB,SP
FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DO RIO PRETO,FATECRP,SP
FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DOS CAMPOS,ETEP,SP
FACULDADE DE TECNOLOGIA DE SÃO SEBASTIÃO,Fatec SS,SP
FACULDADE DE TECNOLOGIA DE TAQUARITINGA,FATEC/TQ,SP
FACULDADE DE TECNOLOGIA DE TATUÍ - PROF. WILSON ROBERTO RIBEIRO DE CAMARGO,FATEC TATUÍ,SP
FACULDADE DE TECNOLOGIA DE VALENÇA,FACTIVA,BA
FACULDADE DE TECNOLOGIA DO COMÉRCIO,FATEC-COMERCIO,MG
FACULDADE DE TECNOLOGIA DO ESTADO DE SÃO PAULO,FATEC,SP
FACULDADE DE TECNOLOGIA DO IPIRANGA,FATECIPI,SP
FACULDADE DE TECNOLOGIA DO NORDESTE,FATENE,CE
FACULDADE DE TECNOLOGIA DO PIAUÍ,FATEPI,PI
FACULDADE DE TECNOLOGIA DR. THOMAZ NOVELINO,FATEC Franca,SP
FACULDADE DE TECNOLOGIA E CIENCIAS DO NORTE DO PARANÁ,FATECIE,PR
FACULDADE DE TECNOLOGIA E CIÊNCIAS DE PERNAMBUCO,FATEC,PE
FACULDADE DE TECNOLOGIA E CIÊNCIAS,FTC,BA
FACULDADE DE TECNOLOGIA E CIÊNCIAS,FTCEAD,SE
FACULDADE DE TECNOLOGIA E GESTÃO,FATEG,PR
FACULDADE DE TECNOLOGIA E NEGÓCIOS CARLOS DRUMMOND DE ANDRADE,FTNCDA,SP
FACULDADE DE TECNOLOGIA EGÍDIO JOSÉ DA SILVA,FATEGIDIO,MG
FACULDADE DE TECNOLOGIA EM HOTELARIA GASTRONOMIA E TURISMO DE SÃO PAULO,HOTEC,SP
FACULDADE DE TECNOLOGIA EMPRESARIAL,FTEBA,BA
FACULDADE DE TECNOLOGIA ESTUDANTE RAFAEL ALMEIDA CAMARINHA - MARILIA,Fatec Marilia,SP
FACULDADE DE TECNOLOGIA EVOLUÇÃO,FECET,CE
FACULDADE DE TECNOLOGIA FAMA,FAMA,PE
FACULDADE DE TECNOLOGIA FRANCISCO MORATO,FFRAMO,SP
FACULDADE DE TECNOLOGIA GESTÃO & MARKETING,IBGM / FGM,PE
FACULDADE DE TECNOLOGIA IBRATEC,UNIBRATEC,PE
FACULDADE DE TECNOLOGIA IBTA CAMPINAS,IBTA,SP
FACULDADE DE TECNOLOGIA INESUL DO PARANÁ,FIPAR,PR
FACULDADE DE TECNOLOGIA INFORMÁTICA,FATI,CE
FACULDADE DE TECNOLOGIA INTENSIVA,FATECI,CE
FACULDADE DE TECNOLOGIA INTERNACIONAL DE CURITIBA,FATEC Internacional,PR
FACULDADE DE TECNOLOGIA LA SALLE - ESTRELA,FACSALLE,RS
FACULDADE DE TECNOLOGIA LOURENÇO FILHO,FATEC FLF,CE
FACULDADE DE TECNOLOGIA OSWALDO CRUZ,FATEC OSWALDO CRUZ,SP
FACULDADE DE TECNOLOGIA PEDRO ROGÉRIO GARCIA,FATTEP,SC
FACULDADE DE TECNOLOGIA PENTÁGONO,FATEP,SP
FACULDADE DE TECNOLOGIA PROF. LUIZ ROSA,FATEC Luiz Rosa,SP
FACULDADE DE TECNOLOGIA RUBENS LARA,FATEC-BS,SP
FACULDADE DE TECNOLOGIA SAINT PASTOUS,FSP,RS
FACULDADE DE TECNOLOGIA SENAC BLUMENAU,SENAC,SC
FACULDADE DE TECNOLOGIA SENAC FLORIANÓPOLIS,SENAC FLORIANÓPOLIS,SC
FACULDADE DE TECNOLOGIA SENAC SÃO MIGUEL DO OESTE,5133,SC
FACULDADE DE TECNOLOGIA SENAI BELO HORIZONTE,FATEC SENAI BH,MG
FACULDADE DE TECNOLOGIA SENAI CHAPECÓ,SENAI,SC
FACULDADE DE TECNOLOGIA SENAI DE DESENVOLVIMENTO GERENCIAL,FATESG,GO
FACULDADE DE TECNOLOGIA SENAI ROBERTO MANGE,FATEC SENAI RM,GO
FACULDADE DE TECNOLOGIA SENAI ÍTALO BOLOGNA,FATECIB,GO
FACULDADE DE TECNOLOGIA TECBRASIL,FTEC,RS
FACULDADE DE TECNOLOGIA TECMED,TECMED,SP
FACULDADE DE TECNOLOGIA TERMOMECANICA,FTT,SP
FACULDADE DE TECNOLOGIA ZONA LESTE,FATEC-ZL,SP
FACULDADE DE TECNOLOGIA ÁLVARES DE AZEVEDO,FAATESP,SP
FACULDADE DE TECONOLOGIA DA ZONA SUL,FATEC ZONASUL,SP
FACULDADE DE TELÊMACO BORBA,FATEB,PR
FACULDADE DE TEOLOGIA E CIÊNCIAS,FATEC,SP
FACULDADE DE TEOLOGIA FILOSOFIA E CIÊNCIAS HUMANAS GAMALIEL,FATEFIG,PA
FACULDADE DE TEOLOGIA INTEGRADA,FATIN,PE
FACULDADE DE TUPI PAULISTA,CESTUPI,SP
FACULDADE DE VINHEDO,FV,SP
FACULDADE DE VIÇOSA,FDV,MG
FACULDADE DECISION DE NEGÓCIOS,FACULDADE DECISION,RS
FACULDADE DECISÃO,FADE,PE
FACULDADE DEHONIANA,DEHONIANA,SP
FACULDADE DEL REY,FDR,MG
FACULDADE DELTA,FACDELTA,BA
FACULDADE DIADEMA,FAD,SP
FACULDADE DINÂMICA DO VALE DO PIRANGA,FADIP,MG
FACULDADE DIOCESANA SÃO JOSÉ,FADISI,AC
FACULDADE DIVINÓPOLIS,FACED,MG
FACULDADE DO ACRE,FAC,AC
FACULDADE DO AGRESTE DE PERNAMBUCO,FAAPE,PE
FACULDADE DO AMAZONAS,Iaes,AM
FACULDADE DO BAIXO PARNAÍBA,FAP,MA
FACULDADE DO BICO DO PAPAGAIO,FABIC,TO
FACULDADE DO CENTRO EDUCACIONAL MINEIRO - FACEM,FACEM-BH,MG
FACULDADE DO CENTRO LESTE,UCL,ES
FACULDADE DO CLUBE NÁUTICO MOGIANO,FCNM,SP
FACULDADE DO DESCOBRIMENTO,FACDESCO,BA
FACULDADE DO ESTADO DO MARANHÃO,FACEM,MA
FACULDADE DO FUTURO,FAF,MG
FACULDADE DO GUARUJÁ,FAGU,SP
FACULDADE DO INSTITUTO BRASIL,FIBRA,GO
FACULDADE DO INSTITUTO NACIONAL DE PÓS-GRADUAÇÃO DE SÃO JOSÉ DOS CAMPOS,FACULDADE INPG - SJC,SP
FACULDADE DO LITORAL CATARINENSE,FLC,SC
FACULDADE DO LITORAL PARANAENSE,FLP,PR
FACULDADE DO LITORAL SUL PAULISTA,FALS,SP
FACULDADE DO MEIO AMBIENTE E DE TECNOLOGIA DE NEGOCIOS,FAMATEC,DF
FACULDADE DO NOROESTE DE MINAS,FINOM,MG
FACULDADE DO NOROESTE PARANAENSE,FANP,PR
FACULDADE DO NORTE GOIANO,FNG,GO
FACULDADE DO NORTE NOVO DE APUCARANA,FACNOPAR,PR
FACULDADE DO NORTE PIONEIRO,FANORPI,PR
FACULDADE DO PANTANAL MATOGROSSENSE,FAPAN,MT
FACULDADE DO SUDESTE GOIANO,FASUG,GO
FACULDADE DO SUDESTE MINEIRO,FACSUM,MG
FACULDADE DO SUL DA BAHIA,FASB,BA
FACULDADE DO SUL,FACSUL,BA
FACULDADE DO TAPAJÓS,FAT,PA
FACULDADE DO TRABALHO,FATRA,MG
FACULDADE DO VALE DO IPOJUCA,FAVIP,PE
FACULDADE DO VALE DO ITAJAÍ MIRIM,FAVIM,SC
FACULDADE DO VALE DO ITAPECURÚ,FAI,MA
FACULDADE DOCTUM DE ADMINISTRAÇÃO DA SERRA,DOCTUM,ES
FACULDADE DOCTUM DE ADMINISTRAÇÃO E EDUCAÇÃO DE VITÓRIA,DOCTUM,ES
FACULDADE DOCTUM DE CARANGOLA,DOCTUM,MG
FACULDADE DOCTUM DE DIREITO DA SERRA,DOCTUM,ES
FACULDADE DOCTUM DE JOÃO MONLEVADE,DOCTUM,MG
FACULDADE DOCTUM DE JUIZ DE FORA,DOCTUM,MG
FACULDADE DOCTUM DE MANHUAÇU,DOCTUM,MG
FACULDADE DOCTUM DE VILA VELHA,DOCTUM,ES
FACULDADE DOCTUM DE VITÓRIA,DOCTUM,ES
FACULDADE DOIS DE JULHO,F2J,BA
FACULDADE DOM ALBERTO,FDA,RS
FACULDADE DOM BOSCO,FDB,PR
FACULDADE DOM LUIS DE ORLEANS E BRAGANÇA,FARRP,BA
FACULDADE DOM PEDRO II DE TECNOLOGIA,FAB,BA
FACULDADE DOM PEDRO II,FDPII ,BA
FACULDADE DOS CERRADOS PIAUIENSES,FCP,PI
FACULDADE DOS GUARARAPES,FG,PE
FACULDADE DOS IMIGRANTES - FAI,FAI,RS
FACULDADE DOUTOR FRANCISCO MAEDA,FAFRAM,SP
FACULDADE DOUTOR LEOCÁDIO JOSÉ CORREIA,FALEC,PR
FACULDADE ECOAR,FAECO,RS
FACULDADE EDUCACIONAL DA LAPA,FAEL,PR
FACULDADE EDUCACIONAL DE ARAPOTI,FATI,PR
FACULDADE EDUCACIONAL DE COLOMBO,FAEC,PR
FACULDADE EDUCACIONAL DE CORNÉLIO PROCÓPIO,FACED,PR
FACULDADE EDUCACIONAL DE DOIS VIZINHOS,FAED,PR
FACULDADE EDUCACIONAL DE FRANCISCO BELTRÃO,FEFB,PR
FACULDADE EDUCACIONAL DE MEDIANEIRA,FACEMED,PR
FACULDADE EDUCACIONAL DE PONTA GROSSA,UNIÃO,PR
FACULDADE EDUCAÇÃO FÍSICA DE PASSOS,FADEF,MG
FACULDADE EDUVALE DE AVARÉ,EDUVALE,SP
FACULDADE EMPRESARIAL DE CHAPECÓ,FAEM,SC
FACULDADE ENIAC,ENIAC,SP
FACULDADE ENTRE RIOS DO PIAUÍ,FAERPI,PI
FACULDADE EQUIPE,FAE,RS
FACULDADE ERNESTO RISCALI,FAER,SP
FACULDADE ESAMC SANTOS,ESAMC,SP
FACULDADE ESAMC SOROCABA,ESAMC,SP
FACULDADE ESAMC UBERLÂNDIA,ESAMC,MG
FACULDADE ESCOLA PAULISTA DE DIREITO,FACEPD,SP
FACULDADE ESCRITOR OSMAN DA COSTA LINS,FACOL,PE
FACULDADE ESPECIALIZADA NA ÁREA DE SAÚDE DO RIO GRANDE DO SUL,FASURGS,RS
FACULDADE ESPÍRITO SANTENSE,UNICAPE,ES
FACULDADE ESTADUAL DE CIÊNCIAS E LETRAS DE CAMPO MOURÃO,FECILCAM,PR
FACULDADE ESTADUAL DE CIÊNCIAS ECONÔMICAS DE APUCARANA,FECEA,PR
FACULDADE ESTADUAL DE FILOSOFIA CIÊNCIAS E LETRAS DE PARANAGUÁ,FAFIPAR,PR
FACULDADE ESTADUAL DE FILOSOFIA CIÊNCIAS LETRAS UNIÃO DA VITÓRIA,FAFIUV,PR
FACULDADE ESTAÇÃO,FAEST,PR
FACULDADE ESTÁCIO COTIA,Estácio FAAC,SP
FACULDADE ESTÁCIO DA AMAZÔNIA,Estácio Atual,RR
FACULDADE ESTÁCIO DA PARAÍBA,ESTÁCIO PARAÍBA,PB
FACULDADE ESTÁCIO DE ALAGOAS - ESTÁCIO FAL,ESTÁCIO FAL,AL
FACULDADE ESTÁCIO DE CURITIBA,ESTÁCIO CURITIBA,PR
FACULDADE ESTÁCIO DE SANTO ANDRÉ,ESTÁCIO SANTO ANDRÉ,SP
FACULDADE ESTÁCIO DE SÁ DE CAMPO GRANDE,FESCG,MS
FACULDADE ESTÁCIO DE SÁ DE GOIÁS,FESGO,GO
FACULDADE ESTÁCIO DE SÁ DE JUIZ DE FORA,FESJF,MG
FACULDADE ESTÁCIO DE SÁ DE OURINHOS,FAESO,SP
FACULDADE ESTÁCIO DE SÁ DE VILA VELHA,FESVV,ES
FACULDADE ESTÁCIO DE SÃO LUÍS,ESTÁCIO SÃO LUÍS,MA
FACULDADE ESTÁCIO DO AMAPÁ - ESTÁCIO FAMAP,ESTÁCIO FAMAP,AP
FACULDADE ESTÁCIO DO RECIFE - ESTÁCIO FIR,Estácio FIR,PE
FACULDADE ESTÁCIO EURO- PANAMERICANA DE HUMANIDADES E TECNOLOGIAS - ESTÁCIO EUROPAN,ESTÁCIO EUROPAN,SP
FACULDADE ESTÁCIO MONTESSORI DE IBIÚNA,ESTÁCIO FMI,SP
FACULDADE EUCLIDES DA CUNHA,FAEUC,AC
FACULDADE EUROPÉIA DE ADMINISTRAÇÃO E MARKETING,FEPAM,PE
FACULDADE EVANGÉLICA DE SALVADOR,FACESA,BA
FACULDADE EVANGÉLICA DO MEIO NORTE,FAEME,MA
FACULDADE EVANGÉLICA DO PARANÁ,FEPAR,PR
FACULDADE EVANGÉLICA DO PIAUI,FAEPI,PI
FACULDADE EVOLUTIVO,Face,CE
FACULDADE EVOLUÇÃO ALTO OESTE POTIGUAR,FACEP,RN
FACULDADE EÇA DE QUEIROS,FACEQ,SP
FACULDADE FACCAT,FACCAT,SP
FACULDADE FACTUM,Factum,RS
FACULDADE FAPAN,FAPAN,SP
FACULDADE FARIAS BRITO,FFB,CE
FACULDADE FASIPE,FASIPE,MT
FACULDADE FERNÃO DIAS,FAFE,SP
FACULDADE FILADÉLFIA,FAFIL,SP
FACULDADE FLEMING,SEF,SP
FACULDADE FOZ DO IGUAÇU,FAFIG,PR
FACULDADE FRASSINETTI DO RECIFE,FAFIRE,PE
FACULDADE FRUTAL,FAF,MG
FACULDADE FUCAPE,FUCAPE,ES
FACULDADE GAMA E SOUZA,FGS,RJ
FACULDADE GENNARI E PEARTREE,FGP,SP
FACULDADE GEREMÁRIO DANTAS,SFNSC,RJ
FACULDADE GLOBAL DE UMUARAMA,FGU,PR
FACULDADE GUARAPUAVA,FG,PR
FACULDADE GUARAÍ,FAG,TO
FACULDADE GUILHERME GUIMBALA,FGG,SC
FACULDADE HERRERO,FATEC,PR
FACULDADE HORIZONTES,FH,SP
FACULDADE HÉLIO ROCHA,FHR,BA
FACULDADE IBGEN - INSTITUTO BRASILEIRO DE GESTÃO DE NEGÓCIOS,IBGEN,RS
FACULDADE IBGEN,IBGEN,RS
FACULDADE ICESP,ICESP,DF
FACULDADE IDEAL,FACI,PA
FACULDADE IGUAÇU,FI,PR
FACULDADE IMPACTA TECNOLOGIA,FIT,SP
FACULDADE INDEPENDENTE DO NORDESTE,FAINOR,BA
FACULDADE INED DE RIO CLARO,CBTA,SP
FACULDADE INEDI,CESUCA,RS
FACULDADE INESP - INSTITUTO NACIONAL DE ENSINO E PESQUISA,INESP,SP
FACULDADE INTEGRADA BRASIL AMAZÔNIA,FIBRA,PA
FACULDADE INTEGRADA DA GRANDE FORTALEZA,FGF,CE
FACULDADE INTEGRADA DE ARAGUATINS,FAIARA,TO
FACULDADE INTEGRADA DE ENSINO SUPERIOR DE COLINAS,FIESC,TO
FACULDADE INTEGRADA DE PERNAMBUCO,FACIPE,PE
FACULDADE INTEGRADA DE SANTA MARIA,FISMA,RS
FACULDADE INTEGRADA DO CEARÁ,Fic,CE
FACULDADE INTEGRADA DO RECIFE,FIR,PE
FACULDADE INTEGRADA EUCLIDES FERNANDES,FAJ,BA
FACULDADE INTEGRADA METROPOLITANA DE CAMPINAS,METROCAMP,SP
FACULDADE INTEGRADA RIO BRANCO,FIRB,AC
FACULDADE INTEGRADA TIRADENTES,FITS,AL
FACULDADE INTEGRADO DE CAMPO MOURÃO,CEI,PR
FACULDADE INTEGRAL CANTAREIRA,F.I.C.,SP
FACULDADE INTEGRAL DIFERENCIAL,FACID,PI
FACULDADE INTEGRAÇÃO TIETE,FIT,SP
FACULDADE INTERAMERICANA DE PORTO VELHO,UNIRON,RO
FACULDADE INTERATIVA COC,UniCOC,SE
FACULDADE INTERAÇÃO AMERICANA,FIA,SP
FACULDADE INTERMUNICIPAL DO NOROESTE DO PARANÁ,FACINOR,PR
FACULDADE INTERNACIONAL DA PARAÍBA,FPB,PB
FACULDADE INTERNACIONAL DO DELTA,INTA,PI
FACULDADE IPEMED DE CIÊNCIA MÉDICAS,IPEMED,MG
FACULDADE IPIRANGA,FACIP,PA
FACULDADE ISEIB DE BELO HORIZONTE,FIBH,MG
FACULDADE ISRAELITA DE CIÊNCIAS DA SAÚDE EINSTEIN,FICSAE,SP
FACULDADE ITABIRANA DE DESENVOLVIMENTO DAS CIÊNCIAS E TECNOLOGIAS,FATEC,MG
FACULDADE ITABORAÍ,OMNI,RJ
FACULDADE ITANHAÉM,FAITA,SP
FACULDADE ITEANA DE BOTUCATU,FITB,SP
FACULDADE ITOP,ITOP,TO
FACULDADE JAGUARIAÍVA,FAJAR,PR
FACULDADE JANGADA,FJ,SC
FACULDADE JAPI,JAPI,SP
FACULDADE JESUÍTA DE FILOSOFIA E TEOLOGIA,FAJE,MG
FACULDADE JK - ASA NORTE,CENACAP,DF
FACULDADE JK - BRASÍLIA - UNIDADE PLANO PILOTO,CENACAP,DF
FACULDADE JK - GUARÁ,ESAMC BRASÍLIA,DF
FACULDADE JK SOBRADINHO,FASEP,DF
FACULDADE JOAQUIM NABUCO,FJN,PE
FACULDADE JOSÉ AUGUSTO VIEIRA,FJAV,SE
FACULDADE JOSÉ LACERDA FILHO DE CIÊNCIAS APLICADAS,FAJOLCA,PE
FACULDADE JUVÊNCIO TERRA,FJT,BA
FACULDADE LA SALLE,Unisalle,AM
FACULDADE LIONS,FAC-LIONS,GO
FACULDADE LITERATUS,Fal,AM
FACULDADE LS,FACELS,DF
FACULDADE LUCIANO FEIJÃO,FLF,CE
FACULDADE LUSOBRASILEIRA,FALUB,PE
FACULDADE LUTERANA RUI BARBOSA,FALURB,PR
FACULDADE LUTERANA SÃO MARCOS,FALSM,RS
FACULDADE LÍDER,FAL,PE
FACULDADE MACHADO DE ASSIS,FAMA,RJ
FACULDADE MACHADO SOBRINHO,FMS,MG
FACULDADE MADRE TEREZA,FAMAT,AP
FACULDADE MADRE THAIS,FMT,BA
FACULDADE MARANHENSE SÃO JOSÉ DOS COCAIS,FSJ,MA
FACULDADE MARECHAL RONDON,FMR,SP
FACULDADE MARIA MILZA,FAMAM,BA
FACULDADE MARINGÁ,CESPAR,PR
FACULDADE MARIO SCHENBERG,FMS,SP
FACULDADE MARISTA,FMR,PE
FACULDADE MARTHA FALCÃO,FMF,AM
FACULDADE MATER DEI,FMD,PR
FACULDADE MAURÍCIO DE NASSAU DE CAMPINA GRANDE,FMN CG,PB
FACULDADE MAURÍCIO DE NASSAU DE JOÃO PESSOA,FMN JOÃO PESSOA,PB
FACULDADE MAURÍCIO DE NASSAU DE LAURO FREITAS,FABAC,BA
FACULDADE MAURÍCIO DE NASSAU,UNINASSAU,RN
FACULDADE MAUÁ DE BRASÍLIA,MAUADF,DF
FACULDADE MAX PLANCK,FMP,SP
FACULDADE MERCÚRIO,FAMERC,RJ
FACULDADE MERIDIONAL,IMED,RS
FACULDADE META,Fameta,AC
FACULDADE METODISTA DE CIÊNCIAS HUMANAS E EXATAS,METODISTA,SP
FACULDADE METODISTA DE SANTA MARIA,FAMES,RS
FACULDADE METODISTA GRANBERY,FMG,MG
FACULDADE METROPOLITANA DA AMAZÔNIA,FAMAZ,PA
FACULDADE METROPOLITANA DA GRANDE RECIFE,UNESJ,PE
FACULDADE METROPOLITANA DE CAIEIRAS,FMC,SP
FACULDADE METROPOLITANA DE CAMAÇARI,FAMEC ,BA
FACULDADE METROPOLITANA DE FORTALEZA,Fametro,CE
FACULDADE METROPOLITANA DE GUARAMIRIM,FAMEG,SC
FACULDADE METROPOLITANA DE MANAUS,Fametro,AM
FACULDADE METROPOLITANA DE MARINGÁ,UNIFAMMA,PR
FACULDADE METROPOLITANA DO PLANALTO NORTE,FAMEPLAN,SC
FACULDADE METROPOLITANA LONDRINENSE,FML,PR
FACULDADE METROPOLITANA,UNNESA,RO
FACULDADE MINEIRENSE,FAMA,GO
FACULDADE MODELO,FACIMOD,PR
FACULDADE MOGIANA DO ESTADO DE SÃO PAULO,FAMOESP,SP
FACULDADE MONTEIRO LOBATO,FATO,RS
FACULDADE MONTES BELOS,FMB,GO
FACULDADE MONTESSORIANO DE SALVADOR,FAMA,BA
FACULDADE MORAES JÚNIOR - MACKENZIE RIO,FMJ - MACKENZIE RIO,RJ
FACULDADE MORUMBI SUL,FMS,SP
FACULDADE MOZARTEUM DE SÃO PAULO,FAMOSP,SP
FACULDADE MUNICIPAL DE PALHOÇA,FMP,SC
FACULDADE MUNICIPAL PROFESSOR FRANCO MONTORO DE MOGI GUAÇU,FMPFM,SP
FACULDADE MURIALDO,FAMUR,RS
FACULDADE MÉTODO DE SÃO PAULO,FAMESP,SP
FACULDADE NACIONAL,FINAC,ES
FACULDADE NATALENSE DE ENSINO E CULTURA,Fanec,RN
FACULDADE NATALENSE PARA O DESENVOLVIMENTO DO RIO GRANDE DO NORTE,FARN,RN
FACULDADE NETWORK,NWK,SP
FACULDADE NOBRE DE FEIRA DE SANTANA,FAN,BA
FACULDADE NOROESTE,FAN,GO
FACULDADE NORTE CAPIXABA DE SAO MATEUS,MULTIVIX SÃO MATEUS,ES
FACULDADE NORTE PARANAENSE,UNINORTE,PR
FACULDADE NOSSA CIDADE,FNC,SP
FACULDADE NOSSA SENHORA APARECIDA,FANAP,GO
FACULDADE NOSSA SENHORA DE FÁTIMA,FACULDADE FÁTIMA,RS
FACULDADE NOVA ROMA,FGV,PE
FACULDADE NOVAUNESC,NOVAUNESC,PI
FACULDADE NOVO HAMBURGO,FACULDADE IENH,RS
FACULDADE NOVO MILÊNIO,FNM,ES
FACULDADE OBOÉ - FACO,FACO,CE
FACULDADE ORÍGENES LESSA,FACOL,SP
FACULDADE PADRE ANCHIETA DE VÁRZEA PAULISTA,ANCHIETA,SP
FACULDADE PADRE JOÃO BAGOZZI,FACULDADE BAGOZZI,PR
FACULDADE PADRÃO,FP,GO
FACULDADE PALOTINA,FAPAS,RS
FACULDADE PAN AMAZÔNICA,FAPAN,PA
FACULDADE PANAMERICANA DE JIPARANÁ,UNIJIPA,RO
FACULDADE PARA O DESENVOLVIMENTO DE PERNAMBUCO,FADEPE,PE
FACULDADE PARAENSE DE ENSINO,FAPEN,PA
FACULDADE PARANAPANEMA,FP,PR
FACULDADE PARAÍBANA,FAP,PB
FACULDADE PARAÍSO DO CEARÁ,Fap,CE
FACULDADE PARQUE,FAP,BA
FACULDADE PAULISTA DE ARTES,FPA,SP
FACULDADE PAULISTA DE EDUCAÇÃO E COMUNICAÇÃO,FAPEC,SP
FACULDADE PAULISTA DE SERVIÇO SOCIAL,FAPSS-SP.,SP
FACULDADE PAULUS DE COMUNICAÇÃO E TECNOLOGIA,FAPCOM,SP
FACULDADE PEDRO LEOPOLDO,FPL,MG
FACULDADE PENSAR,FP,BA
FACULDADE PERNAMBUCANA,Fape,PE
FACULDADE PERUIBE,FPBE,SP
FACULDADE PHÊNIX DE CIÊNCIAS HUMANAS E SOCIAIS DO BRASIL,PHENIX,GO
FACULDADE PIAGET,FACPIAGET,SP
FACULDADE PIAUIENSE DE PROCESSAMENTO DE DADOS,FPPD,PI
FACULDADE PIAUIENSE,FAP,PI
FACULDADE PINHALZINHO,HORUS,SC
FACULDADE PINHEIRO GUIMARÃES,FAPG,RJ
FACULDADE PIO DÉCIMO,PIODECIMO,SE
FACULDADE PITÁGORAS DE ADMINISTRAÇÃO SUPERIOR,FPAS,MG
FACULDADE PITÁGORAS DE BELO HORIZONTE,FPAS,MG
FACULDADE PITÁGORAS DE BETIM,PITÁGORAS-BETIM,MG
FACULDADE PITÁGORAS DE DIVINÓPOLIS - FPD,FPD,MG
FACULDADE PITÁGORAS DE IMPERATRIZ,FAMA,MA
FACULDADE PITÁGORAS DE IPATINGA,FPI,MG
FACULDADE PITÁGORAS DE JUNDIAÍ,PIT JUNDIAÍ,SP
FACULDADE PITÁGORAS DE TEIXEIRA DE FREITAS,PIT TEIXEIRA,BA
FACULDADE POLITEC,FAP,SP
FACULDADE POLITÉCNICA DE CAMPINAS,POLICAMP,SP
FACULDADE POLITÉCNICA DE UBERLÂNDIA,FPU,MG
FACULDADE PORTO ALGRENSE,FAPA,RS
FACULDADE PORTO DAS ÁGUAS,FAPAG,SC
FACULDADE PRESBITERIANA GAMMON,FAGAMMON,MG
FACULDADE PRESIDENTE ANTÔNIO CARLOS DE AIMORÉS,FUNEC Aimorés,MG
FACULDADE PRESIDENTE ANTÔNIO CARLOS DE BOM DESPACHO,FAPACBD,MG
FACULDADE PRESIDENTE ANTÔNIO CARLOS DE GOVERNADOR VALADARES,FAU G. Valadares,MG
FACULDADE PRESIDENTE ANTÔNIO CARLOS DE RIBEIRÃO DAS NEVES,FUNEES R. das Neves,MG
FACULDADE PRESIDENTE ANTÔNIO CARLOS DE VÁRZEA DA PALMA,FEES Várzea da Palma,MG
FACULDADE PRINCESA DO OESTE,FPO,CE
FACULDADE PROCESSUS,PFD,DF
FACULDADE PROFESSOR MIGUEL ÂNGELO DA SILVA SANTOS,FEMASS,RJ
FACULDADE PROJEÇÃO DE CEILÂNDIA,FACEB,DF
FACULDADE PROJEÇÃO,FAPRO,DF
FACULDADE PROMOVE DE JANAÚBA,ISEJAN,MG
FACULDADE PROMOVE DE MINAS GERAIS,FPMG,MG
FACULDADE PROMOVE DE SETE LAGOAS,FSLMG,MG
FACULDADE QUIRINÓPOLIS,FAQUI,GO
FACULDADE RAIMUNDO MARINHO,FRM,AL
FACULDADE RANCHARIENSE,FRAN,SP
FACULDADE RAÍZES,SER,GO
FACULDADE REDENTOR,FACREDENTOR,RJ
FACULDADE REGES DE DRACENA,FCGD,SP
FACULDADE REGIONAL DA BAHIA,FARB,BA
