#,User,Name,A,B,C,D,E,F,G,H,I,J,K,Total,A_pen,B_pen,C_pen,D_pen,E_pen,F_pen,G_pen,H_pen,I_pen,J_pen,Total_Qst,Total_Pen
38,pizza/1,[UFMS - Ponta Pora] PizzaHunters,1/221,,,3/118,,,,3/-,1/7,,,3 (386),221,,,118,,,,,7,,3,386
39,stormtroop3rs/1,[INATEL] stormtroop3rs,3/248,,,3/73,3/-,,,,1/9,,,3 (410),248,,,73,,,,,9,,3,410
40,cyberia/1,[UFPB] Cyberia,3/169,,,5/126,,,,1/-,1/13,,,3 (428),169,,,126,,,,,13,,3,428
41,gcc2015/1,[FAJ] #gcc2015,2/287,,,2/94,,,,,1/13,,,3 (434),287,,,94,,,,,13,,3,434
42,doubled/1,[UERN] double damage,2/292,,,6/175,,,,,1/21,,,3 (608),292,,,175,,,,,21,,3,608
43,ufrgs/1,[UFRGS] UFRGS AMT,3/-,,,1/28,,,,3/-,1/5,,,2 (33),,,,28,,,,,5,,2,33
44,deathcode/1,[USJT] Death Code,,,,1/41,,,,1/-,1/4,,,2 (45),,,,41,,,,,4,,2,45
45,turkeys/1,[UnB] Turkeys,2/-,,,1/45,,1/-,,1/-,1/6,,,2 (51),,,,45,,,,,6,,2,51
46,paitom/1,[FATECSJC] PAITOM,1/-,2/-,,1/51,,1/-,,,1/5,,,2 (56),,,,51,,,,,5,,2,56
47,mycoffee/1,[UFT] MyCoffeeSoft,1/-,,,1/46,,,,,1/13,,,2 (59),,,,46,,,,,13,,2,59
48,asfdelphi/1,[UNOESC - Chapeco] A_Se_Fosse_Delphi,2/-,,,1/57,,,,,1/4,,,2 (61),,,,57,,,,,4,,2,61
49,coders/1,[UEA] UEA_Coders,,,,1/64,,,,,1/3,,,2 (67),,,,64,,,,,3,,2,67
50,housecodes/1,[IFNMG] IFNMG House of Codes,1/-,,,2/58,,3/-,,1/-,1/7,,,2 (85),,,,58,,,,,7,,2,85
51,gohorse/1,[UEFS] go horse,6/-,,,2/66,,,,1/-,1/12,,,2 (98),,,,66,,,,,12,,2,98
52,taiti/1,[UFES] Taiti,1/-,,,2/91,,,,,1/5,,,2 (116),,,,91,,,,,5,,2,116
53,ufam/1,[UFAM] UFAM-ICOMP-PowerPink,,,,3/66,1/-,,,,1/10,,,2 (116),,,,66,,,,,10,,2,116
54,dbug/1,[IFTM - Uberaba] D_bug,1/-,,,1/114,,,,,1/7,,,2 (121),,,,114,,,,,7,,2,121
55,mathema/1,[IBTA] MATHEMA,,,,1/115,,,,,1/11,,,2 (126),,,,115,,,,,11,,2,126
56,moriartys/1,[UFAL] Moriartys,,,,1/125,,4/-,,,1/9,,3/-,2 (134),,,,125,,,,,9,,2,134
57,cou/1,[IFSULDEMINAS] C + ou -,2/-,,,2/142,,,,,1/8,,,2 (170),,,,142,,,,,8,,2,170
58,zeppelin/1,[IFTM - Paracatu] Zeppelin,5/-,,,2/191,,,,,1/8,,,2 (219),,,,191,,,,,8,,2,219
59,nois/1,[UFPA] Cvaicomnois,,,,4/155,,,,,1/6,,,2 (221),,,,155,,,,,6,,2,221
60,ramadores/1,[FEI] Ramadores,,,,5/143,,4/-,,4/-,1/8,,,2 (231),,,,143,,,,,8,,2,231
61,guarana/1,[UFMT - Cuiaba] Guarana Ralado,,,,6/173,,,,,1/10,,,2 (283),,,,173,,,,,10,,2,283
62,garrosh/1,[Faculdade Porto] GARROSH,,,,6/-,,,,,1/9,,,1 (9),,,,,,,,,9,,1,9
