0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,Country User/Site,Name,A,B,C,D,E,F,G,H,I,J,K,L,M,Total
28,teambrbr42/BRA,[UnB] Turkeys,,1/215,5/106,1/-,7/236,3/206,6/-,1/3,2/138,1/63,,,,7 (1227)
16,teambrbr42/BRA,[UnB] Turkeys,,1/215,5/106,1/-,7/236,3/206,6/-,1/3,2/138,1/63,,,,7 (1227)
29,team103/PER,[UNI-FIIS] The Templaries,,1/286,1/64,,1/26,4/299,,1/7,5/298,4/230,,,,7 (1410)
5,team103/PER,[UNI-FIIS] The Templaries,,1/286,1/64,,1/26,4/299,,1/7,5/298,4/230,,,,7 (1410)
2,team103/PER,[UNI-FIIS] The Templaries,,1/286,1/64,,1/26,4/299,,1/7,5/298,4/230,,,,7 (1410)
30,teambrbr18/BRA,[UFMG] Trupe da Biologia,,7/-,2/36,,1/34,1/64,,1/7,1/86,,,,5/293,6 (620)
17,teambrbr18/BRA,[UFMG] Trupe da Biologia,,7/-,2/36,,1/34,1/64,,1/7,1/86,,,,5/293,6 (620)
31,team14/ARG,[UBA-FCEN] Proyecto Mandioca,,1/165,1/31,,2/64,4/-,2/236,1/11,1/-,1/110,,,,6 (657)
6,team14/ARG,[UBA-FCEN] Proyecto Mandioca,,1/165,1/31,,2/64,4/-,2/236,1/11,1/-,1/110,,,,6 (657)
3,team14/ARG,[UBA-FCEN] Proyecto Mandioca,,1/165,1/31,,2/64,4/-,2/236,1/11,1/-,1/110,,,,6 (657)
32,teambrbr2/BRA,[USP-São Carlos] Tô Nem Vendo,,,1/30,,1/22,4/207,,1/7,2/139,1/201,,,,6 (686)
18,teambrbr2/BRA,[USP-São Carlos] Tô Nem Vendo,,,1/30,,1/22,4/207,,1/7,2/139,1/201,,,,6 (686)
33,teambrbr72/BRA,[UNIFEI-Itajubá] Nuclear Coders,,2/-,1/55,,1/66,,1/179,1/5,1/194,2/222,,,,6 (741)
19,teambrbr72/BRA,[UNIFEI-Itajubá] Nuclear Coders,,2/-,1/55,,1/66,,1/179,1/5,1/194,2/222,,,,6 (741)
34,teambrbr23/BRA,[UECE] VDC,,,1/75,,,2/58,1/275,1/5,1/137,1/173,,,,6 (743)
